Problem Number,ValuePersonal,ValueORTools,TimePersonal(ms),TimeORTools(ms) 
1,123,123,0.027700,0.072900
2,127,127,0.026700,0.024700
3,167,167,0.026300,0.028100
4,222,222,0.037400,0.032800
5,244,244,0.059800,0.042800
6,64,64,0.023800,0.022900
7,91,91,0.011900,0.011900
8,91,91,0.010800,0.011300
9,123,123,0.029800,0.033000
10,243,243,0.038500,0.046500
11,81,81,0.023100,0.021900
12,139,139,0.026700,0.029000
13,167,167,0.028300,0.029200
14,224,224,0.031400,0.039600
15,309,309,0.036500,0.049200
16,51,51,0.023300,0.022100
17,90,90,0.027700,0.026600
18,107,107,0.012100,0.012600
19,148,148,0.031600,0.037500
20,220,220,0.036400,0.045000
21,281,281,0.026800,0.023900
22,302,302,0.014500,0.011700
23,438,438,0.030000,0.032000
24,528,528,0.087800,0.046500
25,631,631,0.116900,0.069200
26,126,126,0.036500,0.029800
27,215,215,0.050000,0.032500
28,170,170,0.032200,0.031900
29,357,357,0.068300,0.055100
30,505,505,0.116700,0.063500
31,128,128,0.027900,0.023600
32,235,235,0.046600,0.032800
33,252,252,0.013900,0.015700
34,484,484,0.044300,0.024000
35,591,591,0.122300,0.084600
36,98,98,0.028000,0.018800
37,190,190,0.047900,0.029400
38,182,182,0.032600,0.033900
39,414,414,0.112200,0.057800
40,511,511,0.121600,0.079600
41,1104,1104,0.124800,0.037300
42,1598,1598,0.173800,0.056100
43,1501,1501,0.293300,0.087900
44,2589,2589,0.420200,0.165300
45,1943,1943,0.495800,0.243800
46,541,541,0.133600,0.037100
47,847,847,0.170700,0.053100
48,1233,1233,0.267100,0.091100
49,1996,1996,0.164000,0.061500
50,2418,2418,0.495800,0.261300
51,565,565,0.061800,0.013300
52,838,838,0.071400,0.021800
53,1092,1092,0.121000,0.053400
54,2077,2077,0.219900,0.112700
55,2342,2342,0.248100,0.125500
56,545,545,0.081200,0.017600
57,788,788,0.098900,0.034500
58,1032,1032,0.231800,0.100200
59,2013,2013,0.422700,0.202400
60,2262,2262,0.488500,0.256500
61,1185,1185,0.273300,0.045700
62,3009,3009,0.407900,0.112000
63,3725,3725,0.472700,0.149000
64,5794,5794,0.797400,0.313400
65,3376,3376,1.141200,0.492700
66,1052,1052,0.113800,0.021700
67,2139,2139,0.162900,0.033100
68,2148,2148,0.186200,0.056300
69,3692,3692,0.310000,0.124300
70,5421,5421,1.122300,0.463700
71,1156,1156,0.261100,0.049400
72,1983,1983,0.177200,0.037500
73,1589,1589,0.309400,0.146500
74,4740,4740,1.033900,0.467100
75,4413,4413,0.971200,0.543900
76,1136,1136,0.271200,0.048900
77,1953,1953,0.428900,0.093600
78,1532,1532,0.340500,0.145800
79,4676,4676,1.191500,0.378900
80,4331,4331,0.978600,0.485900
81,563,563,0.209300,0.248600
82,802,802,0.369300,0.622200
83,1052,1052,0.420500,0.905300
84,1283,1283,0.601500,1.311500
85,1209,1209,0.742500,2.599700
86,241,241,0.153400,0.207500
87,466,466,0.273700,0.554100
88,599,599,0.251900,0.913100
89,796,796,0.522800,1.601800
90,1082,1082,0.655500,2.620500
91,412,412,0.181700,0.331400
92,692,692,0.250800,1.054000
93,897,897,0.356100,1.316400
94,1240,1240,0.576500,2.146200
95,1643,1643,0.666200,3.460700
96,212,212,0.171200,0.068700
97,402,402,0.304300,0.206500
98,537,537,0.251900,0.528300
99,840,840,0.590300,0.940600
100,1203,1203,0.727500,1.188900
101,1493,1493,0.316500,0.427600
102,1629,1629,0.562400,1.343300
103,2088,2088,0.292400,0.717000
104,2449,2449,1.055200,3.132900
105,2587,2587,2.006600,5.345300
106,481,481,0.273900,0.480200
107,944,944,0.648800,1.287800
108,1194,1194,0.453200,1.650700
109,1735,1735,1.363200,3.908200
110,2355,2355,2.028200,5.618000
111,610,610,0.411600,0.566700
112,1156,1156,0.623000,1.707400
113,1462,1462,0.818400,2.597900
114,2230,2230,1.439400,4.982300
115,2851,2851,2.402300,7.258300
116,420,420,0.270700,0.104700
117,886,886,0.672000,0.466700
118,1112,1112,0.696300,0.917500
119,1840,1840,1.298200,2.389200
120,2411,2411,2.361000,4.189100
121,5860,5860,1.816300,1.873400
122,7733,7733,4.134900,4.726300
123,8846,8846,6.184300,9.443000
124,10495,10495,4.505000,9.107600
125,12184,12184,4.873000,11.420900
126,2645,2645,0.790000,0.681500
127,5336,5336,1.627200,1.570200
128,6925,6925,2.104500,3.707400
129,8773,8773,7.621000,11.942300
130,9873,9873,3.572400,8.004600
131,2415,2415,0.768000,1.159400
132,4632,4632,1.495200,3.729000
133,6262,6262,2.007500,5.301300
134,9040,9040,2.885900,8.925500
135,10445,10445,3.481000,10.906500
136,2237,2237,0.766800,0.203500
137,4352,4352,1.492700,0.730100
138,5912,5912,2.060900,1.783000
139,8640,8640,2.918400,3.720100
140,9995,9995,4.926100,6.324200
141,10281,10281,1.664000,1.703300
142,15814,15814,3.093100,3.921000
143,19896,19896,5.091600,5.841300
144,21988,21988,4.763600,8.555000
145,24330,24330,6.743100,17.301000
146,5796,5796,1.650500,1.276000
147,9961,9961,2.269100,2.942500
148,14634,14634,4.511900,6.351900
149,17623,17623,6.036300,9.669400
150,19884,19884,6.351400,16.146500
151,4770,4770,1.458300,2.457800
152,9612,9612,2.987500,6.649300
153,13502,13502,3.372400,7.958400
154,17706,17706,5.782300,30.709700
155,21278,21278,6.718500,21.530800
156,4570,4570,1.504600,0.433100
157,9352,9352,7.927400,4.392000
158,13162,13162,4.330400,3.455000
159,17306,17306,5.717700,8.668400
160,20828,20828,6.809300,12.556500
161,1145,1145,0.322500,0.955200
162,1587,1587,0.448400,1.486900
163,2093,2093,1.888500,6.945500
164,2441,2441,2.424900,11.777600
165,2347,2347,3.547900,12.233000
166,504,504,0.298600,0.560300
167,906,906,0.558500,1.701500
168,1352,1352,0.904200,3.455500
169,1722,1722,1.259800,5.544700
170,2272,2272,1.815900,9.551000
171,817,817,0.554000,2.113300
172,1411,1411,0.716600,3.373800
